t,plant,axis,Conc_Nitrates_Soil,Tsoil,mineralisation,nitrates,volume
1209,1,MS,2740780.32019055,7.80000000,0.00278124,2740780.32019055,1
1210,1,MS,2740358.40245691,10.60000000,0.00350779,2740358.40245691,1
1211,1,MS,2739863.06443058,12.60000000,0.00412823,2739863.06443058,1
1212,1,MS,2739326.58471279,13.40000000,0.00440312,2739326.58471279,1
1213,1,MS,2738749.27623017,13.90000000,0.00458324,2738749.27623017,1
1214,1,MS,2738119.83939228,14.40000000,0.00476999,2738119.83939228,1
1215,1,MS,2737405.85791790,15.40000000,0.00516423,2737405.85791790,1
1216,1,MS,2736667.56531079,15.30000000,0.00512353,2736667.56531079,1
1217,1,MS,2735946.69172014,14.60000000,0.00484659,2735946.69172014,1
1218,1,MS,2735271.14174909,13.60000000,0.00447438,2735271.14174909,1
1219,1,MS,2734656.58778749,12.40000000,0.00406199,2734656.58778749,1
1220,1,MS,2734092.92312304,11.40000000,0.00374500,2734092.92312304,1
1221,1,MS,2733578.20816563,10.40000000,0.00345066,2733578.20816563,1
1222,1,MS,2733105.93249167,9.50000000,0.00320392,2733105.93249167,1
1223,1,MS,2732673.49595913,8.60000000,0.00297337,2732673.49595913,1
1224,1,MS,2732277.87236526,7.70000000,0.00275804,2732277.87236526,1
1225,1,MS,2731912.85581525,6.90000000,0.00257869,2731912.85581525,1
1226,1,MS,2731573.18559441,6.20000000,0.00243057,2731573.18559441,1
1227,1,MS,2731256.98321145,5.50000000,0.00229027,2731256.98321145,1
1228,1,MS,2730964.82113761,4.70000000,0.00213901,2730964.82113761,1
1229,1,MS,2730689.95852022,4.10000000,0.00203163,2730689.95852022,1
1230,1,MS,2730428.83964397,3.60000000,0.00194594,2730428.83964397,1
1231,1,MS,2730173.32862131,3.40000000,0.00191260,2730173.32862131,1
1232,1,MS,2729901.77601264,4.00000000,0.00201422,2729901.77601264,1
1233,1,MS,2729565.12228126,6.30000000,0.00245125,2729565.12228126,1
1234,1,MS,2729102.99026943,9.80000000,0.00328432,2729102.99026943,1
1235,1,MS,2728590.59999511,10.50000000,0.00347912,2728590.59999511,1
1236,1,MS,2728010.91443955,11.20000000,0.00368437,2728010.91443955,1
1237,1,MS,2727315.41962662,12.50000000,0.00409499,2727315.41962662,1
1238,1,MS,2726491.96480178,13.70000000,0.00451041,2726491.96480178,1
1239,1,MS,2725574.64342201,14.30000000,0.00473210,2725574.64342201,1
1240,1,MS,2724593.98479379,14.60000000,0.00484659,2724593.98479379,1
1241,1,MS,2723614.17903058,14.30000000,0.00473210,2723614.17903058,1
1242,1,MS,2722691.95949922,13.50000000,0.00443862,2722691.95949922,1
1243,1,MS,2721829.54357576,12.80000000,0.00419546,2721829.54357576,1
1244,1,MS,2721023.47238202,12.20000000,0.00399671,2721023.47238202,1
1245,1,MS,2720255.95366771,11.90000000,0.00390057,2720255.95366771,1
1246,1,MS,2719544.34239620,11.30000000,0.00371457,2719544.34239620,1
1247,1,MS,2718890.35504426,10.60000000,0.00350779,2718890.35504426,1
1248,1,MS,2718293.82521009,9.80000000,0.00328432,2718293.82521009,1
1249,1,MS,2717744.75196442,9.10000000,0.00309951,2717744.75196442,1
1250,1,MS,2717243.11190502,8.30000000,0.00289995,2717243.11190502,1
1251,1,MS,2716780.46837512,7.60000000,0.00273502,2716780.46837512,1
1252,1,MS,2716353.06117206,6.90000000,0.00257869,2716353.06117206,1
1253,1,MS,2715957.62297559,6.20000000,0.00243057,2715957.62297559,1
1254,1,MS,2715587.89657005,5.60000000,0.00230985,2715587.89657005,1
1255,1,MS,2715225.16243181,5.50000000,0.00229027,2715225.16243181,1
1256,1,MS,2714842.39365169,6.10000000,0.00241006,2714842.39365169,1
1257,1,MS,2714298.32329137,10.20000000,0.00339438,2714298.32329137,1
1258,1,MS,2713482.22174506,15.10000000,0.00504298,2713482.22174506,1
1259,1,MS,2712575.03032999,16.00000000,0.00541463,2712575.03032999,1
1260,1,MS,2711617.89730431,15.90000000,0.00537215,2711617.89730431,1
1261,1,MS,2710549.00640363,16.50000000,0.00563156,2710549.00640363,1
1262,1,MS,2709336.31752145,17.40000000,0.00604174,2709336.31752145,1
1263,1,MS,2707996.93346456,18.10000000,0.00637899,2707996.93346456,1
1264,1,MS,2706591.48827688,18.40000000,0.00652858,2706591.48827688,1
1265,1,MS,2705234.40087984,17.90000000,0.00628096,2705234.40087984,1
1266,1,MS,2704015.03163407,16.70000000,0.00572050,2704015.03163407,1
1267,1,MS,2702931.47113200,15.50000000,0.00520523,2702931.47113200,1
1268,1,MS,2701952.10636866,14.60000000,0.00484659,2701952.10636866,1
1269,1,MS,2701069.31878398,13.70000000,0.00451041,2701069.31878398,1
1270,1,MS,2700268.91007129,12.90000000,0.00422944,2700268.91007129,1
1271,1,MS,2699542.35824467,12.10000000,0.00396443,2699542.35824467,1
1272,1,MS,2698876.90874871,11.40000000,0.00374500,2698876.90874871,1
1273,1,MS,2698266.87436086,10.70000000,0.00353667,2698266.87436086,1
1274,1,MS,2697711.54636621,9.90000000,0.00331153,2697711.54636621,1
1275,1,MS,2697205.32882168,9.10000000,0.00309951,2697205.32882168,1
1276,1,MS,2696739.38901325,8.40000000,0.00292423,2696739.38901325,1
1277,1,MS,2696303.13837250,7.90000000,0.00280462,2696303.13837250,1
1278,1,MS,2695894.06296758,7.40000000,0.00268949,2695894.06296758,1
1279,1,MS,2695494.72257528,7.30000000,0.00266699,2695494.72257528,1
1280,1,MS,2695071.19855950,8.00000000,0.00282818,2695071.19855950,1
1281,1,MS,2694448.99444672,12.60000000,0.00412823,2694448.99444672,1
1282,1,MS,2693493.00872729,18.00000000,0.00632981,2693493.00872729,1
1283,1,MS,2692357.39333533,19.90000000,0.00732406,2692357.39333533,1
1284,1,MS,2691139.47219017,20.00000000,0.00738000,2691139.47219017,1
1285,1,MS,2689799.95525205,20.30000000,0.00755008,2689799.95525205,1
1286,1,MS,2688345.62115779,20.50000000,0.00766536,2688345.62115779,1
1287,1,MS,2686768.39060343,20.90000000,0.00790052,2686768.39060343,1
1288,1,MS,2685134.25438592,21.00000000,0.00796028,2685134.25438592,1
1289,1,MS,2683571.38263760,20.40000000,0.00760753,2683571.38263760,1
1290,1,MS,2682163.32948683,19.30000000,0.00699616,2682163.32948683,1
1291,1,MS,2680923.32595958,18.10000000,0.00637899,2680923.32595958,1
1292,1,MS,2679828.88733547,17.00000000,0.00585625,2679828.88733547,1
1293,1,MS,2678850.59448833,16.10000000,0.00545741,2678850.59448833,1
1294,1,MS,2677970.95603483,15.30000000,0.00512353,2677970.95603483,1
1295,1,MS,2677191.65275804,14.30000000,0.00473210,2677191.65275804,1
1296,1,MS,2676489.39628939,13.50000000,0.00443862,2676489.39628939,1
1297,1,MS,2675859.49317262,12.60000000,0.00412823,2675859.49317262,1
1298,1,MS,2675289.19021000,11.80000000,0.00386900,2675289.19021000,1
1299,1,MS,2674763.53128441,11.20000000,0.00368437,2674763.53128441,1
1300,1,MS,2674270.62177002,10.80000000,0.00356577,2674270.62177002,1
1301,1,MS,2673801.09157610,10.60000000,0.00350779,2673801.09157610,1
1302,1,MS,2673346.57355939,10.60000000,0.00350779,2673346.57355939,1
1303,1,MS,2672895.28563904,10.90000000,0.00359509,2672895.28563904,1
1304,1,MS,2672426.30736690,11.70000000,0.00383765,2672426.30736690,1
1305,1,MS,2671934.66056343,12.50000000,0.00409499,2671934.66056343,1
1306,1,MS,2671406.00970872,13.40000000,0.00440312,2671406.00970872,1
1307,1,MS,2670808.18428613,14.70000000,0.00488531,2670808.18428613,1
1308,1,MS,2670179.30384873,15.00000000,0.00500314,2670179.30384873,1
1309,1,MS,2669518.26254102,15.30000000,0.00512353,2669518.26254102,1
1310,1,MS,2668871.47482198,14.80000000,0.00492431,2668871.47482198,1
1311,1,MS,2668255.03658284,14.10000000,0.00465713,2668255.03658284,1
1312,1,MS,2667672.24227736,13.40000000,0.00440312,2667672.24227736,1
1313,1,MS,2667120.14709453,12.80000000,0.00419546,2667120.14709453,1
1314,1,MS,2666598.99814143,12.20000000,0.00399671,2666598.99814143,1
1315,1,MS,2666101.09287326,11.80000000,0.00386900,2666101.09287326,1
1316,1,MS,2665623.48969752,11.50000000,0.00377566,2665623.48969752,1
1317,1,MS,2665163.16082943,11.30000000,0.00371457,2665163.16082943,1
1318,1,MS,2664720.36636499,11.10000000,0.00365439,2664720.36636499,1
1319,1,MS,2664294.80549918,10.90000000,0.00359509,2664294.80549918,1
1320,1,MS,2663898.90034716,10.30000000,0.00342242,2663898.90034716,1
1321,1,MS,2663530.05154610,9.70000000,0.00325732,2663530.05154610,1
1322,1,MS,2663188.88508932,9.00000000,0.00307390,2663188.88508932,1
1323,1,MS,2662872.85296955,8.30000000,0.00289995,2662872.85296955,1
1324,1,MS,2662579.69723448,7.60000000,0.00273502,2662579.69723448,1
1325,1,MS,2662300.69066363,7.20000000,0.00264466,2662300.69066363,1
1326,1,MS,2662032.69751732,6.90000000,0.00257869,2662032.69751732,1
1327,1,MS,2661769.76934097,6.80000000,0.00255704,2661769.76934097,1
1328,1,MS,2661492.03931505,7.50000000,0.00271217,2661492.03931505,1
1329,1,MS,2661135.65620119,10.50000000,0.00347912,2661135.65620119,1
1330,1,MS,2660639.51094295,14.50000000,0.00480815,2660639.51094295,1
1331,1,MS,2660046.88348884,16.20000000,0.00550049,2660046.88348884,1
1332,1,MS,2659389.65153268,16.30000000,0.00554387,2659389.65153268,1
1333,1,MS,2658630.00987484,16.50000000,0.00563156,2658630.00987484,1
1334,1,MS,2657764.28294075,16.50000000,0.00563156,2657764.28294075,1
1335,1,MS,2656793.22350084,16.50000000,0.00563156,2656793.22350084,1
1336,1,MS,2655755.93900197,16.20000000,0.00550049,2655755.93900197,1
1337,1,MS,2654719.38192384,15.40000000,0.00516423,2654719.38192384,1
1338,1,MS,2653772.06201250,13.80000000,0.00454669,2653772.06201250,1
1339,1,MS,2652916.28397723,12.30000000,0.00402923,2652916.28397723,1
1340,1,MS,2652140.40989775,11.00000000,0.00362463,2652140.40989775,1
1341,1,MS,2651436.92464083,9.80000000,0.00328432,2651436.92464083,1
1342,1,MS,2650797.05527631,8.70000000,0.00299822,2650797.05527631,1
1343,1,MS,2650211.87544662,7.70000000,0.00275804,2650211.87544662,1
1344,1,MS,2649673.07619793,6.80000000,0.00255704,2649673.07619793,1
1345,1,MS,2649164.98499174,6.20000000,0.00243057,2649164.98499174,1
1346,1,MS,2648678.32069504,5.80000000,0.00234947,2648678.32069504,1
1347,1,MS,2648204.74800569,5.60000000,0.00230985,2648204.74800569,1
1348,1,MS,2647748.39438651,5.30000000,0.00225157,2647748.39438651,1
1349,1,MS,2647315.89121814,4.80000000,0.00215741,2647315.89121814,1
1350,1,MS,2646905.80869354,4.30000000,0.00206687,2646905.80869354,1
1351,1,MS,2646492.46606988,4.50000000,0.00210266,2646492.46606988,1
1352,1,MS,2646041.31624901,5.60000000,0.00230985,2646041.31624901,1
1353,1,MS,2645512.16654984,7.50000000,0.00271217,2645512.16654984,1
1354,1,MS,2644885.26820928,9.40000000,0.00317753,2644885.26820928,1
1355,1,MS,2644130.63372041,11.30000000,0.00371457,2644130.63372041,1
