Nstruct,delta_leaf_L,sucrose,leaf_pseudostem_length,S_Proteins,RER,internode_L,plant,sum_dry_mass,Cont_Proteins_DM,Unloading_Amino_Acids,Conc_Amino_Acids,t,Respi_growth,D_Fructan,N_content,ratio_DZ,leaf_is_emerged,D_Proteins,Conc_Sucrose,Cont_WSC_DM,fructan,mstruct,axis,AA_consumption_mstruct,Conc_Proteins,leaf_L,Cont_Fructan_DM,Unloading_Sucrose,sucrose_consumption_mstruct,amino_acids,nb_replications,proteins,S_Fructan,Conc_Fructan,metamer
0.00000000,0.00000036,0.00197713,0.02900000,256.14354150,0.00000125,0.00000000,1,0.00000157,56.76505923,0.00012556,111.02862545,6.00000000,0.00001355,0.00031962,8.79287046,1.00000000,False,9.98560206,328.24412948,4.16786076,0.00031962,0.00000050,MS,0.00000041,1.99158479,0.00008054,0.57999949,0.00029675,0.00004065,0.00006966,1,0.00963966,137.47181631,106.12529970,9
0.00000000,0.00000021,0.00114644,0.02900000,256.14877483,0.00000115,0.00000000,1,0.00000091,56.78821065,0.00007281,111.03215326,6.00000000,0.00000690,0.00018545,8.79675621,1.00000000,False,9.99687217,328.24499678,4.16523448,0.00018545,0.00000029,MS,0.00000021,1.99383256,0.00005087,0.57994691,0.00017212,0.00002069,0.00004040,1,0.00559585,137.47201948,106.19213503,10
0.00001022,0.00029065,8.66769317,0.02895000,84.58854785,0.00000085,0.00005000,1,0.00371393,27.45294865,0.05793005,113.24273166,7.00000000,0.03444169,3.35160657,4.52961239,0.00000000,True,2.79961388,353.65408293,13.49282517,8.87131583,0.00204241,MS,0.00103037,0.55837078,0.09480788,6.82473642,-6.28329508,0.10332507,0.28911056,1,10.99694424,0.00000023,723.92434806,3
0.00000425,0.00019363,3.60027860,0.02893951,132.83176991,0.00000192,0.00001057,1,0.00180499,38.16619654,0.11110626,113.14886764,7.00000000,0.05479221,2.43601722,6.09185386,0.27636764,False,4.54776509,353.16694352,9.55492199,2.43601722,0.00084952,MS,0.00163918,0.90703192,0.02801180,3.85599963,0.42622230,0.16437664,0.12015312,1,7.43024474,143.12125982,477.91898908,4
0.00000015,0.00001772,0.12850507,0.02888703,259.33835964,0.00000234,0.00005284,1,0.00009492,56.34182887,0.00763888,113.19725639,7.00000000,0.00170816,0.02338345,8.73058949,1.00000000,False,9.89261929,353.20002414,4.57169134,0.02338345,0.00003032,MS,0.00005110,1.97303978,0.00210599,0.70381837,0.01729239,0.00512448,0.00429007,1,0.57684595,143.12851538,128.54024178,5
0.00000004,0.00000416,0.03714788,0.02900000,259.37998154,0.00000147,0.00000000,1,0.00002770,56.64725199,0.00220726,113.22570876,7.00000000,0.00029155,0.00678748,8.77446528,1.00000000,False,10.03982770,353.20668507,4.53203790,0.00678748,0.00000876,MS,0.00000872,2.00239986,0.00078696,0.70014523,0.00501511,0.00087466,0.00124045,1,0.16923121,143.12997624,129.07249527,6
0.00000001,0.00000165,0.01216549,0.02900000,259.40518150,0.00000140,0.00000000,1,0.00000907,56.65297043,0.00072291,113.24293774,7.00000000,0.00009016,0.00222397,8.77492622,1.00000000,False,10.04272697,353.21076300,4.53159994,0.00222397,0.00000287,MS,0.00000270,2.00297810,0.00032677,0.70038257,0.00164247,0.00027048,0.00040629,1,0.05543658,143.13087059,129.14049864,7
0.00000001,0.00000070,0.00462260,0.02900000,259.42059880,0.00000128,0.00000000,1,0.00000345,56.70930179,0.00027467,113.25347935,7.00000000,0.00003078,0.00084548,8.78360672,1.00000000,False,10.07015067,353.21325351,4.52413684,0.00084548,0.00000109,MS,0.00000092,2.00844764,0.00015140,0.69952682,0.00062448,0.00009234,0.00015439,1,0.02112197,143.13141680,129.20645232,8
0.00000000,0.00000037,0.00213235,0.02900000,259.42980612,0.00000126,0.00000000,1,0.00000160,56.75382605,0.00012670,113.25977521,7.00000000,0.00001356,0.00039010,8.79003181,1.00000000,False,10.09185793,353.21474188,4.51813285,0.00039010,0.00000050,MS,0.00000041,2.01277706,0.00008090,0.69873700,0.00028820,0.00004067,0.00007122,1,0.00976427,143.13174321,129.23730208,9
0.00000000,0.00000021,0.00123610,0.02900000,259.43500653,0.00000116,0.00000000,1,0.00000093,56.78225287,0.00007344,113.26333130,7.00000000,0.00000690,0.00022631,8.79467148,1.00000000,False,10.10586158,353.21558300,4.51466023,0.00022631,0.00000029,MS,0.00000021,2.01557003,0.00005108,0.69863740,0.00016712,0.00002069,0.00004129,1,0.00566809,143.13192768,129.33340734,10
