t,plant,axis,Conc_Nitrates_Soil,Tsoil,mineralisation,nitrates,volume
2024,1,MS,466068.75466501,8.81212121,0.00302630,466068.75466501,1
2025,1,MS,464983.81841166,8.80303030,0.00302402,464983.81841166,1
2026,1,MS,463915.03924352,8.78484848,0.00301945,463915.03924352,1
2027,1,MS,462864.29816261,8.75757576,0.00301261,462864.29816261,1
2028,1,MS,461830.18202807,8.75454546,0.00301185,461830.18202807,1
2029,1,MS,460806.67578060,8.83030303,0.00303088,460806.67578060,1
2030,1,MS,459787.13597260,8.99393939,0.00307236,459787.13597260,1
2031,1,MS,458761.59064110,9.28484848,0.00314737,458761.59064110,1
2032,1,MS,457726.59709346,9.62727273,0.00323781,457726.59709346,1
2033,1,MS,456680.46447343,10.00000000,0.00333894,456680.46447343,1
2034,1,MS,455622.92530322,10.38787879,0.00344723,455622.92530322,1
2035,1,MS,454552.02515779,10.80606061,0.00356754,454552.02515779,1
2036,1,MS,453461.98403043,11.23030303,0.00369350,453461.98403043,1
2037,1,MS,452338.58231946,11.61515152,0.00381124,452338.58231946,1
2038,1,MS,451161.40055260,11.89696970,0.00389961,451161.40055260,1
2039,1,MS,449916.54783664,12.09090909,0.00396150,449916.54783664,1
2040,1,MS,448608.01096782,12.20909091,0.00399965,448608.01096782,1
2041,1,MS,447241.12470636,12.25757576,0.00401540,447241.12470636,1
2042,1,MS,445818.29730639,12.25454545,0.00401442,445818.29730639,1
2043,1,MS,444347.97775250,12.21818182,0.00400260,444347.97775250,1
2044,1,MS,442850.06346465,12.13030303,0.00397418,442850.06346465,1
2045,1,MS,441346.77519755,12.00000000,0.00393238,441346.77519755,1
2046,1,MS,439855.68745797,11.88484848,0.00389577,439855.68745797,1
2047,1,MS,438389.16819976,11.80000000,0.00386900,438389.16819976,1
2048,1,MS,436952.95662299,11.73636364,0.00384902,436952.95662299,1
2049,1,MS,435546.56922438,11.70606061,0.00383955,435546.56922438,1
2050,1,MS,434173.54426890,11.65454545,0.00382348,434173.54426890,1
2051,1,MS,432835.80925580,11.59090909,0.00380372,432835.80925580,1
2052,1,MS,431533.26223769,11.52727273,0.00378406,431533.26223769,1
2053,1,MS,430260.97601388,11.50606061,0.00377752,430260.97601388,1
2054,1,MS,429013.38753767,11.53939394,0.00378780,429013.38753767,1
2055,1,MS,427782.79150497,11.65454545,0.00382348,427782.79150497,1
2056,1,MS,426564.09022098,11.83030303,0.00387854,426564.09022098,1
2057,1,MS,425353.09683818,12.06060606,0.00395177,425353.09683818,1
2058,1,MS,424152.17642464,12.28181818,0.00402330,424152.17642464,1
2059,1,MS,422960.46068574,12.51818182,0.00410101,422960.46068574,1
2060,1,MS,421766.42929094,12.77878788,0.00418828,421766.42929094,1
2061,1,MS,420560.48720448,12.98484848,0.00425847,420560.48720448,1
2062,1,MS,419324.55741817,13.10606061,0.00430025,419324.55741817,1
2063,1,MS,418038.92567737,13.13030303,0.00430865,418038.92567737,1
2064,1,MS,416702.39306308,13.02727273,0.00427305,416702.39306308,1
2065,1,MS,415311.99922605,12.88484848,0.00422427,415311.99922605,1
2066,1,MS,413874.68132023,12.70303030,0.00416274,413874.68132023,1
2067,1,MS,412405.39138283,12.49090909,0.00409198,412405.39138283,1
2068,1,MS,410925.97492086,12.24848485,0.00401244,410925.97492086,1
2069,1,MS,409459.02475357,11.98787879,0.00392851,409459.02475357,1
2070,1,MS,408021.09196639,11.73636364,0.00384902,408021.09196639,1
2071,1,MS,406622.13720330,11.51212121,0.00377939,406622.13720330,1
2072,1,MS,405265.90290567,11.31818182,0.00372009,405265.90290567,1
2073,1,MS,403955.89548046,11.11515152,0.00365892,403955.89548046,1
2074,1,MS,402691.90740543,10.91515152,0.00359955,402691.90740543,1
2075,1,MS,401474.21257427,10.70000000,0.00353667,401474.21257427,1
2076,1,MS,400300.82568971,10.49090909,0.00347652,400300.82568971,1
2077,1,MS,399162.73749225,10.36666667,0.00344122,399162.73749225,1
2078,1,MS,398052.54750342,10.31515152,0.00342668,398052.54750342,1
2079,1,MS,396962.14116326,10.35454545,0.00343780,396962.14116326,1
2080,1,MS,395889.97066099,10.42121212,0.00345668,395889.97066099,1
2081,1,MS,394832.05657921,10.54242424,0.00349125,394832.05657921,1
2082,1,MS,393786.91812933,10.69393939,0.00353492,393786.91812933,1
2083,1,MS,392753.59338260,10.86060606,0.00358352,392753.59338260,1
2084,1,MS,391724.15013936,11.05757576,0.00364174,391724.15013936,1
2085,1,MS,390685.11301953,11.22727273,0.00369258,390685.11301953,1
2086,1,MS,389613.18531248,11.32727273,0.00372285,389613.18531248,1
2087,1,MS,388492.31392982,11.31212121,0.00371825,388492.31392982,1
2088,1,MS,387317.12320877,11.21818182,0.00368984,387317.12320877,1
2089,1,MS,386084.06535529,11.07272727,0.00364625,386084.06535529,1
2090,1,MS,384798.85638913,10.85454545,0.00358174,384798.85638913,1
2091,1,MS,383468.31467454,10.63030303,0.00351652,383468.31467454,1
2092,1,MS,382104.60023017,10.39696970,0.00344980,382104.60023017,1
2093,1,MS,380729.49304918,10.13030303,0.00337497,380729.49304918,1
2094,1,MS,379362.01010598,9.88484848,0.00330739,379362.01010598,1
2095,1,MS,378022.07570861,9.63939394,0.00324106,378022.07570861,1
2096,1,MS,376719.59471462,9.39696970,0.00317673,376719.59471462,1
2097,1,MS,375458.44989677,9.16060606,0.00311513,375458.44989677,1
2098,1,MS,374240.47000855,8.92121212,0.00305386,374240.47000855,1
2099,1,MS,373059.65099963,8.74242424,0.00300881,373059.65099963,1
2100,1,MS,371914.55804177,8.57575758,0.00296737,371914.55804177,1
2101,1,MS,370799.26372142,8.46666667,0.00294053,370799.26372142,1
2102,1,MS,369705.48100900,8.44545455,0.00293533,369705.48100900,1
2103,1,MS,368627.69591710,8.48787879,0.00294573,368627.69591710,1
2104,1,MS,367561.52734035,8.58484849,0.00296962,367561.52734035,1
2105,1,MS,366503.59802826,8.72727273,0.00300503,366503.59802826,1
2106,1,MS,365448.80714675,8.93333333,0.00305693,365448.80714675,1
2107,1,MS,364393.98858797,9.16969697,0.00311748,364393.98858797,1
2108,1,MS,363328.92346180,9.42727273,0.00318471,363328.92346180,1
2109,1,MS,362237.09465702,9.64545454,0.00324268,362237.09465702,1
2110,1,MS,361102.68150203,9.76666667,0.00327530,361102.68150203,1
2111,1,MS,359917.01920912,9.77272727,0.00327694,359917.01920912,1
2112,1,MS,358680.30387474,9.65757576,0.00324593,358680.30387474,1
2113,1,MS,357389.76010124,9.51818182,0.00320875,357389.76010124,1
2114,1,MS,356052.71650645,9.33636364,0.00316083,356052.71650645,1
2115,1,MS,354678.40672163,9.13636364,0.00310888,354678.40672163,1
2116,1,MS,353286.51323374,8.88181818,0.00304388,353286.51323374,1
2117,1,MS,351895.75198764,8.60303030,0.00297412,351895.75198764,1
2118,1,MS,350524.09471698,8.32424242,0.00290582,350524.09471698,1
2119,1,MS,349185.33580182,8.05757576,0.00284183,349185.33580182,1
2120,1,MS,347877.82367799,7.87575758,0.00279894,347877.82367799,1
2121,1,MS,346604.96449251,7.69090909,0.00275594,346604.96449251,1
2122,1,MS,345363.93294884,7.54242424,0.00272184,345363.93294884,1
2123,1,MS,344154.05544405,7.40303030,0.00269018,344154.05544405,1
2124,1,MS,342972.08433631,7.29393939,0.00266563,342972.08433631,1
2125,1,MS,341806.93603335,7.29696970,0.00266631,341806.93603335,1
2126,1,MS,340649.72542617,7.39393939,0.00268812,340649.72542617,1
2127,1,MS,339497.49891746,7.52727273,0.00271838,339497.49891746,1
2128,1,MS,338344.26307711,7.72727273,0.00276435,338344.26307711,1
2129,1,MS,337183.78525465,8.00000000,0.00282818,337183.78525465,1
2130,1,MS,336012.45105629,8.31818182,0.00290435,336012.45105629,1
2131,1,MS,334828.06046970,8.65757576,0.00298765,334828.06046970,1
2132,1,MS,333625.18037558,8.95757576,0.00306309,333625.18037558,1
2133,1,MS,332383.46702445,9.24242424,0.00313633,332383.46702445,1
2134,1,MS,331088.18660162,9.43030303,0.00318550,331088.18660162,1
2135,1,MS,329734.89667603,9.49696970,0.00320312,329734.89667603,1
2136,1,MS,328324.78634448,9.45151515,0.00319110,328324.78634448,1
2137,1,MS,326862.80314622,9.34848485,0.00316400,326862.80314622,1
2138,1,MS,325362.01359276,9.17878788,0.00311983,325362.01359276,1
2139,1,MS,323838.14300454,8.95151515,0.00306155,323838.14300454,1
2140,1,MS,322309.87575715,8.66969697,0.00299067,322309.87575715,1
2141,1,MS,320789.42996454,8.40606061,0.00292571,320789.42996454,1
2142,1,MS,319290.35165374,8.16666667,0.00286785,319290.35165374,1
2143,1,MS,317822.34382908,7.96060606,0.00281888,317822.34382908,1
2144,1,MS,316388.76370570,7.78484849,0.00277772,316388.76370570,1
2145,1,MS,314988.65659349,7.63636364,0.00274337,314988.65659349,1
2146,1,MS,313619.04358342,7.52121212,0.00271700,313619.04358342,1
2147,1,MS,312279.11394837,7.41212121,0.00269223,312279.11394837,1
2148,1,MS,310967.41126271,7.31212121,0.00266971,310967.41126271,1
2149,1,MS,309664.75850468,7.38484849,0.00268607,309664.75850468,1
2150,1,MS,308370.10976142,7.46666667,0.00270459,308370.10976142,1
2151,1,MS,307074.81211939,7.63333333,0.00274267,307074.81211939,1
2152,1,MS,305772.62183550,7.86666667,0.00279681,305772.62183550,1
2153,1,MS,304458.91442343,8.14545454,0.00286277,304458.91442343,1
2154,1,MS,303128.77239110,8.47272727,0.00294201,303128.77239110,1
2155,1,MS,301783.49577113,8.79090909,0.00302097,301783.49577113,1
2156,1,MS,300409.69219416,9.14545454,0.00311122,300409.69219416,1
2157,1,MS,298992.49882427,9.47575758,0.00319751,298992.49882427,1
2158,1,MS,297526.42031715,9.66666667,0.00324837,297526.42031715,1
2159,1,MS,296006.69260160,9.73333333,0.00326630,296006.69260160,1
2160,1,MS,294433.84454210,9.71818182,0.00326222,294433.84454210,1
2161,1,MS,292813.32986122,9.65151515,0.00324430,292813.32986122,1
2162,1,MS,291156.93597595,9.52424242,0.00321035,291156.93597595,1
2163,1,MS,289479.02082175,9.34545455,0.00316321,289479.02082175,1
2164,1,MS,287792.88184719,9.14545454,0.00311122,287792.88184719,1
2165,1,MS,286110.52387086,8.93939394,0.00305847,286110.52387086,1
2166,1,MS,284454.56767072,8.67575758,0.00299217,284454.56767072,1
2167,1,MS,282835.05707564,8.43636364,0.00293311,282835.05707564,1
2168,1,MS,281251.72098232,8.25151515,0.00288824,281251.72098232,1
