t,air_temperature,humidity,ambient_CO2,Wind,PARi,,date,
173,14.45833333,0.972160356,544.6666667,0.269166667,11.025,,2024/4/17 5:00,
174,14.99166667,0.990201842,516.1666667,0.31,140.95,,2024/4/17 6:00,
175,16.76666667,0.986029861,488.6666667,0.650833333,616.9166667,,2024/4/17 7:00,
176,19.41666667,0.844442802,468,0.646666667,1171.808333,,2024/4/17 8:00,
177,20.91666667,0.705981409,453,1.031666667,1580.15,,2024/4/17 9:00,
178,21.8,0.607767983,451.1666667,1.158333333,1880.241667,,2024/4/17 10:00,
179,22.3,0.552460539,448.6666667,1.508333333,2042.408333,,2024/4/17 11:00,
180,22.68333333,0.481559855,449,1.721666667,1987.25,,2024/4/17 12:00,
181,22.5,0.447811448,447,1.795,1771.966667,,2024/4/17 13:00,
182,22.36666667,0.43597655,445,1.434166667,1416.241667,,2024/4/17 14:00,
183,21.76666667,0.427593268,448.1666667,1.58,988.6083333,,2024/4/17 15:00,
184,20.525,0.453033336,450,0.954166667,457.7583333,,2024/4/17 16:00,
185,19.25,0.481072202,462.6666667,0.848333333,158.0833333,,2024/4/17 17:00,
186,17.1,0.544677943,481.3333333,0.875,12.975,,2024/4/17 18:00,
187,15.21666667,0.652148776,496,0.659166667,0,,2024/4/17 19:00,
188,15.79166667,0.567821001,492.1666667,0.7725,0,,2024/4/17 20:00,
189,13.74166667,0.69672912,546,0.485833333,0,,2024/4/17 21:00,
190,12.01666667,0.832857483,596.8333333,0.390833333,0,,2024/4/17 22:00,
191,11.46666667,0.859128937,589.8333333,0.4175,0,,2024/4/17 23:00,
192,11.3,0.854991287,564,0.3975,0,,2024/4/18 0:00,
193,10.96666667,0.862647844,569,0.29,0,,2024/4/18 1:00,
194,10.75,0.846213492,566.1666667,0.35,0,,2024/4/18 2:00,
195,10.21666667,0.868861234,583.6666667,0.340833333,0,,2024/4/18 3:00,
196,10.25833333,0.863150868,584.6666667,0.3925,0,,2024/4/18 4:00,
197,10.01666667,0.880065049,591,0.328333333,18.625,,2024/4/18 5:00,
198,10.86666667,0.887863642,516.5,0.2875,154.0416667,,2024/4/18 6:00,
199,13.4,0.781972014,486.5,0.405833333,272.65,,2024/4/18 7:00,
200,15.36666667,0.750119218,470.8333333,0.469166667,454.3916667,,2024/4/18 8:00,
201,17.29166667,0.668468621,457.1666667,0.54,569.0833333,,2024/4/18 9:00,
202,17.95833333,0.658704453,467.6666667,0.66,538.6833333,,2024/4/18 10:00,
203,18.56666667,0.694251618,478.6666667,0.751666667,649.3333333,,2024/4/18 11:00,
204,19.2,0.673579397,476.8333333,0.77,893.6166667,,2024/4/18 12:00,
205,19.74166667,0.642934822,471.8333333,1.036666667,848.725,,2024/4/18 13:00,
206,19.51666667,0.628840218,468.3333333,0.909166667,593.6333333,,2024/4/18 14:00,
207,19.69166667,0.630855397,463.1666667,0.779166667,576.55,,2024/4/18 15:00,
208,19.375,0.626815891,467.3333333,0.915,264.4666667,,2024/4/18 16:00,
209,18.05833333,0.676652976,472.5,0.836666667,113.0166667,,2024/4/18 17:00,
210,16.26666667,0.683098592,488.1666667,0.460833333,14.64166667,,2024/4/18 18:00,
211,15.6,0.585372741,477.5,1.241666667,0,,2024/4/18 19:00,
212,15.48333333,0.522501184,466.8333333,1.83,0,,2024/4/18 20:00,
213,14.36666667,0.560321989,468.1666667,1.485833333,0,,2024/4/18 21:00,
214,12.91666667,0.609488643,474.8333333,0.9725,0,,2024/4/18 22:00,
215,13.06666667,0.636524823,470.6666667,1.045833333,0,,2024/4/18 23:00,
216,11.64166667,0.710929893,484.8333333,0.833333333,0,,2024/4/19 0:00,
217,12.51666667,0.691301354,473.1666667,1.521666667,0,,2024/4/19 1:00,
218,13.05,0.642223208,470.3333333,1.830833333,0,,2024/4/19 2:00,
219,13.35,0.597976281,468.8333333,2.080833333,0,,2024/4/19 3:00,
220,12.85833333,0.604538816,469.8333333,1.89,0,,2024/4/19 4:00,
221,11.5,0.679400565,477.3333333,1.255,35.15,,2024/4/19 5:00,
222,13.18333333,0.660690717,464.3333333,1.179166667,311.4083333,,2024/4/19 6:00,
223,15.16666667,0.596438595,453.5,1.896666667,753.1333333,,2024/4/19 7:00,
224,16.91666667,0.550211919,448.3333333,1.990833333,1181.516667,,2024/4/19 8:00,
225,18.05833333,0.525112685,447.1666667,2.075833333,1561.366667,,2024/4/19 9:00,
226,19.29166667,0.487466428,447.6666667,2.248333333,1861.2,,2024/4/19 10:00,
227,20.20833333,0.453180087,446.5,2.473333333,2038.775,,2024/4/19 11:00,
228,21.075,0.438816316,448.3333333,2.360833333,2037.933333,,2024/4/19 12:00,
229,21.16666667,0.444813168,452.6666667,2.2625,1876.675,,2024/4/19 13:00,
230,21.65,0.421069588,452,2.085,1616.466667,,2024/4/19 14:00,
231,21.06666667,0.381928676,455,2.275833333,1240.925,,2024/4/19 15:00,
232,20.33333333,0.351987703,455,2.013333333,768.3166667,,2024/4/19 16:00,
233,19.31666667,0.33747489,456,1.3725,325.775,,2024/4/19 17:00,
234,15.99166667,0.406026745,471.6666667,0.76,29.25,,2024/4/19 18:00,
235,14.925,0.408823529,476.1666667,0.865833333,0,,2024/4/19 19:00,
236,10.78333333,0.674556213,553.5,0.4475,0,,2024/4/19 20:00,
237,8.958333333,0.772826562,577.5,0.515,0,,2024/4/19 21:00,
238,8.225,0.810107198,570.5,0.44,0,,2024/4/19 22:00,
239,7.95,0.8375,563.3333333,0.380833333,0,,2024/4/19 23:00,
240,8.533333333,0.80500975,544.6666667,0.529166667,0,,2024/4/20 0:00,
241,7.675,0.85698395,557.8333333,0.414166667,0,,2024/4/20 1:00,
242,6.975,0.860902882,562.6666667,0.443333333,0,,2024/4/20 2:00,
243,6.258333333,0.887778362,562.8333333,0.45,0,,2024/4/20 3:00,
244,6.6,0.867226315,537.8333333,0.4475,0,,2024/4/20 4:00,
245,7.525,0.848363286,523.5,0.506666667,37.95833333,,2024/4/20 5:00,
246,10.725,0.823122276,486.3333333,0.404166667,329.675,,2024/4/20 6:00,
247,17.1,0.629676979,482,0.448333333,790.2166667,,2024/4/20 7:00,
248,19.46666667,0.480509911,470.8333333,0.701666667,961.05,,2024/4/20 8:00,
249,20.94166667,0.449112665,464,0.611666667,1107.325,,2024/4/20 9:00,
250,22.625,0.41998178,461,1.036666667,1690.966667,,2024/4/20 10:00,
251,24.1,0.410833333,463.5,0.946666667,1922.941667,,2024/4/20 11:00,
252,23.94166667,0.419354839,461.3333333,0.936666667,946.75,,2024/4/20 12:00,
253,23.70833333,0.389946038,467.1666667,1.52,863.2,,2024/4/20 13:00,
254,25.175,0.329373144,467.6666667,2.160833333,1117.391667,,2024/4/20 14:00,
255,25.30833333,0.344245366,469.3333333,1.823333333,912.925,,2024/4/20 15:00,
256,23.79166667,0.384998022,470.1666667,0.925,320.55,,2024/4/20 16:00,
257,21.55,0.456430191,488.3333333,0.454166667,79.83333333,,2024/4/20 17:00,
258,19.36666667,0.607095245,568.6666667,0.310833333,5.25,,2024/4/20 18:00,
259,18.76666667,0.591860286,554.1666667,0.589166667,0,,2024/4/20 19:00,
260,19.20833333,0.558768587,537.8333333,0.5975,0,,2024/4/20 20:00,
261,17.26666667,0.695905938,564.5,0.470833333,0,,2024/4/20 21:00,
262,18.375,0.549972391,526.6666667,0.559166667,0,,2024/4/20 22:00,
263,18.375,0.511521465,512.1666667,0.4325,0,,2024/4/20 23:00,
264,19.29166667,0.405125531,493,0.5475,0,,2024/4/21 0:00,
265,19.43333333,0.383956271,490.5,0.864166667,0,,2024/4/21 1:00,
266,18.66666667,0.44354215,508,0.51,0,,2024/4/21 2:00,
267,17.59166667,0.522881777,529.3333333,0.516666667,0,,2024/4/21 3:00,
268,18.94166667,0.43440122,486.3333333,1.280833333,0,,2024/4/21 4:00,
269,17.79166667,0.537082515,497.6666667,0.560833333,7.883333333,,2024/4/21 5:00,
270,15.75,0.81728349,491,0.569166667,65.225,,2024/4/21 6:00,
271,15.55833333,0.890421311,481,0.481666667,203.3833333,,2024/4/21 7:00,
272,15.56666667,0.889737065,478.3333333,0.900833333,266.1916667,,2024/4/21 8:00,
273,16.28333333,0.887407674,472.6666667,0.486666667,283.8416667,,2024/4/21 9:00,
274,16.48333333,0.881291126,473.1666667,0.648333333,359.625,,2024/4/21 10:00,
275,16.35833333,0.913932222,467.8333333,0.794166667,326.7166667,,2024/4/21 11:00,
