t,air_temperature,humidity,ambient_CO2,Wind,PARi,,date
293,16.25,0.975620767,526,0.400833333,11.38333333,,4/22/2024 5:00
294,16.46666667,0.978641986,521.3333333,0.3825,101.3,,4/22/2024 6:00
295,17.075,0.967429502,501.3333333,0.769166667,311.9916667,,4/22/2024 7:00
296,17.9,0.921582968,490.6666667,0.954166667,520.475,,4/22/2024 8:00
297,19,0.883111954,484.5,1.335,774.6,,4/22/2024 9:00
298,20.55,0.809044533,481.1666667,1.63,1364.408333,,4/22/2024 10:00
299,20.76666667,0.772077834,479.1666667,1.5775,950.1,,4/22/2024 11:00
300,21.75833333,0.725366072,475,1.608333333,1249.35,,4/22/2024 12:00
301,22.00833333,0.671893696,476,1.720833333,1016.216667,,4/22/2024 13:00
302,21.775,0.655326768,472.8333333,2.1525,1097.358333,,4/22/2024 14:00
303,21.31666667,0.648350204,473.3333333,2.055833333,703.1333333,,4/22/2024 15:00
304,20.55,0.66005373,479.3333333,2.261666667,311.5333333,,4/22/2024 16:00
305,19.55833333,0.651120223,482.3333333,1.965833333,93.58333333,,4/22/2024 17:00
306,19.21666667,0.680643954,491.1666667,1.120833333,6.741666667,,4/22/2024 18:00
307,18.675,0.748413067,506.1666667,0.6825,0,,4/22/2024 19:00
308,18.34166667,0.759908235,497.8333333,1.434166667,0,,4/22/2024 20:00
309,17.44166667,0.794142259,500.5,1.003333333,0,,4/22/2024 21:00
310,17.08333333,0.814164597,505.6666667,0.8725,0,,4/22/2024 22:00
311,16.60833333,0.841171799,508,0.4025,0,,4/22/2024 23:00
312,16.3,0.878629866,574.3333333,0.194166667,0,,4/23/2024 0:00
313,16.46666667,0.880231523,534.5,0.2725,0,,4/23/2024 1:00
314,16.28333333,0.9031706,524,0.246666667,0,,4/23/2024 2:00
315,15.90833333,0.935406478,556.1666667,0.175833333,0,,4/23/2024 3:00
316,15.88333333,0.945496536,575.8333333,0.168333333,0,,4/23/2024 4:00
317,15.95833333,0.952139899,609.6666667,0.115833333,10.5,,4/23/2024 5:00
318,16.15,0.960930402,556.1666667,0.2975,50.43333333,,4/23/2024 6:00
